fecha,store_id,producto_id,stock_disponible,stock_transito,demanda_promedio_diaria,categoria,stock_total,dos,tiempo_entrega_dias,reorder_point,accion,stock_objetivo,cantidad_pedir
2024-03-30,S001,CEP-001,16,7,1.1777777777777778,Cepillos para madera,23,19.528301886792452,6,7.066666666666666,ok,24.0,1.0
2024-03-30,S001,CEP-002,21,4,1.1222222222222222,Cepillos para madera,25,22.277227722772277,4,4.488888888888889,ok,23.0,0.0
2024-03-30,S001,CEP-003,15,0,1.1555555555555554,Cepillos para madera,15,12.980769230769232,7,8.088888888888889,ok,24.0,9.0
2024-03-30,S001,CEP-004,22,4,1.2,Cepillos para madera,26,21.666666666666668,3,3.5999999999999996,ok,24.0,0.0
2024-03-30,S001,CEP-005,25,9,1.3111111111111111,Cepillos para madera,34,25.93220338983051,7,9.177777777777777,ok,27.0,0.0
2024-03-30,S001,DES-001,123,21,5.133333333333334,Destornilladores manuales,144,28.05194805194805,4,20.533333333333335,ok,103.0,0.0
2024-03-30,S001,DES-002,133,17,5.533333333333333,Destornilladores manuales,150,27.10843373493976,3,16.6,ok,111.0,0.0
2024-03-30,S001,DES-003,126,0,5.722222222222222,Destornilladores manuales,126,22.019417475728154,2,11.444444444444445,ok,115.0,0.0
2024-03-30,S001,DES-004,105,11,5.522222222222222,Destornilladores manuales,116,21.006036217303823,2,11.044444444444444,ok,111.0,0.0
2024-03-30,S001,DES-005,120,0,5.733333333333333,Destornilladores manuales,120,20.930232558139533,2,11.466666666666667,ok,115.0,0.0
2024-03-30,S001,DES-006,112,0,5.6,Destornilladores manuales,112,20.0,3,16.799999999999997,ok,112.0,0.0
2024-03-30,S001,DES-007,118,0,5.111111111111111,Destornilladores manuales,118,23.086956521739133,1,5.111111111111111,ok,103.0,0.0
2024-03-30,S001,DES-008,105,0,5.233333333333333,Destornilladores manuales,105,20.063694267515924,3,15.7,ok,105.0,0.0
2024-03-30,S001,DES-009,127,0,5.522222222222222,Destornilladores manuales,127,22.997987927565394,2,11.044444444444444,ok,111.0,0.0
2024-03-30,S001,DES-010,118,16,5.344444444444444,Destornilladores manuales,134,25.072765072765073,3,16.03333333333333,ok,107.0,0.0
2024-03-30,S001,DES-011,98,11,5.455555555555556,Destornilladores manuales,109,19.979633401221996,2,10.911111111111111,ok,110.0,1.0
2024-03-30,S001,DES-012,98,0,5.433333333333334,Destornilladores manuales,98,18.03680981595092,2,10.866666666666667,ok,109.0,11.0
2024-03-30,S001,DES-013,124,5,5.388888888888889,Destornilladores manuales,129,23.938144329896904,1,5.388888888888889,ok,108.0,0.0
2024-03-30,S001,DES-014,100,0,5.566666666666666,Destornilladores manuales,100,17.964071856287426,4,22.266666666666666,ok,112.0,12.0
2024-03-30,S001,DES-015,123,16,5.344444444444444,Destornilladores manuales,139,26.00831600831601,3,16.03333333333333,ok,107.0,0.0
2024-03-30,S001,ESM-001,19,0,1.4777777777777779,Esmeriles,19,12.857142857142856,4,5.911111111111111,ok,30.0,11.0
2024-03-30,S001,ESM-002,24,0,1.6,Esmeriles,24,15.0,5,8.0,ok,32.0,8.0
2024-03-30,S001,ESM-003,27,5,1.6,Esmeriles,32,20.0,3,4.800000000000001,ok,32.0,0.0
2024-03-30,S001,ESM-004,14,0,1.4,Esmeriles,14,10.0,2,2.8,ok,28.0,14.0
2024-03-30,S001,ESM-005,17,0,1.5444444444444445,Esmeriles,17,11.007194244604316,3,4.633333333333334,ok,31.0,14.0
2024-03-30,S001,ESM-006,16,5,1.3333333333333333,Esmeriles,21,15.75,4,5.333333333333333,ok,27.0,6.0
2024-03-30,S001,ESM-007,21,4,1.5,Esmeriles,25,16.666666666666668,3,4.5,ok,30.0,5.0
2024-03-30,S001,ESM-008,19,0,1.488888888888889,Esmeriles,19,12.761194029850746,4,5.955555555555556,ok,30.0,11.0
2024-03-30,S001,ESM-009,17,5,1.511111111111111,Esmeriles,22,14.558823529411764,3,4.533333333333333,ok,31.0,9.0
2024-03-30,S001,ESM-010,21,8,1.6111111111111112,Esmeriles,29,18.0,5,8.055555555555555,ok,33.0,4.0
2024-03-30,S001,SIE-001,8,0,0.7666666666666667,Sierras electricas,8,10.434782608695652,3,2.3000000000000003,ok,16.0,8.0
2024-03-30,S001,SIE-002,7,0,0.7666666666666667,Sierras electricas,7,9.130434782608695,3,2.3000000000000003,ok,16.0,9.0
2024-03-30,S001,SIE-003,10,0,0.7777777777777778,Sierras electricas,10,12.857142857142858,4,3.111111111111111,ok,16.0,6.0
2024-03-30,S001,SIE-004,8,2,0.6555555555555556,Sierras electricas,10,15.254237288135593,3,1.9666666666666668,ok,14.0,4.0
2024-03-30,S001,SIE-005,9,0,0.7222222222222222,Sierras electricas,9,12.461538461538462,2,1.4444444444444444,ok,15.0,6.0
2024-03-30,S001,SIE-006,6,2,0.5888888888888889,Sierras electricas,8,13.584905660377357,3,1.7666666666666666,ok,12.0,4.0
2024-03-30,S001,TAL-001,11,0,0.9555555555555556,Taladros,11,11.511627906976743,4,3.8222222222222224,ok,20.0,9.0
2024-03-30,S001,TAL-002,13,5,1.011111111111111,Taladros,18,17.802197802197803,5,5.055555555555555,ok,21.0,3.0
2024-03-30,S001,TAL-003,8,2,0.8333333333333334,Taladros,10,12.0,2,1.6666666666666667,ok,17.0,7.0
2024-03-30,S001,TAL-004,9,2,0.8222222222222222,Taladros,11,13.378378378378379,2,1.6444444444444444,ok,17.0,6.0
2024-03-30,S001,TAL-005,10,0,0.8111111111111111,Taladros,10,12.32876712328767,5,4.055555555555555,ok,17.0,7.0
2024-03-30,S001,TAL-006,8,2,0.9888888888888889,Taladros,10,10.112359550561797,2,1.9777777777777779,ok,20.0,10.0
2024-03-30,S001,TAL-007,15,2,1.2222222222222223,Taladros,17,13.909090909090908,2,2.4444444444444446,ok,25.0,8.0
2024-03-30,S001,TAL-008,12,3,0.8888888888888888,Taladros,15,16.875,3,2.6666666666666665,ok,18.0,3.0
2024-03-30,S002,CEP-001,21,7,1.1111111111111112,Cepillos para madera,28,25.2,6,6.666666666666667,ok,23.0,0.0
2024-03-30,S002,CEP-002,15,0,1.1333333333333333,Cepillos para madera,15,13.23529411764706,4,4.533333333333333,ok,23.0,8.0
2024-03-30,S002,CEP-003,20,0,1.2555555555555555,Cepillos para madera,20,15.929203539823009,7,8.788888888888888,ok,26.0,6.0
2024-03-30,S002,CEP-004,20,4,1.1888888888888889,Cepillos para madera,24,20.186915887850468,3,3.5666666666666664,ok,24.0,0.0
2024-03-30,S002,CEP-005,21,0,1.3,Cepillos para madera,21,16.153846153846153,7,9.1,ok,26.0,5.0
2024-03-30,S002,DES-001,111,21,5.288888888888889,Destornilladores manuales,132,24.95798319327731,4,21.155555555555555,ok,106.0,0.0
2024-03-30,S002,DES-002,90,0,5.3,Destornilladores manuales,90,16.9811320754717,3,15.899999999999999,ok,106.0,16.0
2024-03-30,S002,DES-003,117,0,5.588888888888889,Destornilladores manuales,117,20.934393638170974,2,11.177777777777777,ok,112.0,0.0
2024-03-30,S002,DES-004,130,0,5.4222222222222225,Destornilladores manuales,130,23.975409836065573,2,10.844444444444445,ok,109.0,0.0
2024-03-30,S002,DES-005,85,11,5.288888888888889,Destornilladores manuales,96,18.15126050420168,2,10.577777777777778,ok,106.0,10.0
2024-03-30,S002,DES-006,128,17,5.555555555555555,Destornilladores manuales,145,26.1,3,16.666666666666664,ok,112.0,0.0
2024-03-30,S002,DES-007,117,6,5.866666666666666,Destornilladores manuales,123,20.965909090909093,1,5.866666666666666,ok,118.0,0.0
2024-03-30,S002,DES-008,110,0,5.488888888888889,Destornilladores manuales,110,20.040485829959515,3,16.46666666666667,ok,110.0,0.0
2024-03-30,S002,DES-009,108,0,5.133333333333334,Destornilladores manuales,108,21.038961038961038,2,10.266666666666667,ok,103.0,0.0
2024-03-30,S002,DES-010,97,16,5.4,Destornilladores manuales,113,20.925925925925924,3,16.200000000000003,ok,108.0,0.0
2024-03-30,S002,DES-011,107,11,5.366666666666666,Destornilladores manuales,118,21.987577639751553,2,10.733333333333333,ok,108.0,0.0
2024-03-30,S002,DES-012,95,11,5.6,Destornilladores manuales,106,18.92857142857143,2,11.2,ok,112.0,6.0
2024-03-30,S002,DES-013,108,0,5.411111111111111,Destornilladores manuales,108,19.958932238193018,1,5.411111111111111,ok,109.0,1.0
2024-03-30,S002,DES-014,106,21,5.288888888888889,Destornilladores manuales,127,24.01260504201681,4,21.155555555555555,ok,106.0,0.0
2024-03-30,S002,DES-015,116,16,5.288888888888889,Destornilladores manuales,132,24.95798319327731,3,15.866666666666667,ok,106.0,0.0
2024-03-30,S002,ESM-001,15,0,1.4777777777777779,Esmeriles,15,10.150375939849624,4,5.911111111111111,ok,30.0,15.0
2024-03-30,S002,ESM-002,14,0,1.4444444444444444,Esmeriles,14,9.692307692307692,5,7.222222222222222,ok,29.0,15.0
2024-03-30,S002,ESM-003,24,5,1.5888888888888888,Esmeriles,29,18.251748251748253,3,4.766666666666667,ok,32.0,3.0
2024-03-30,S002,ESM-004,25,0,1.488888888888889,Esmeriles,25,16.791044776119403,2,2.977777777777778,ok,30.0,5.0
