fecha,store_id,producto_id,stock_disponible,stock_transito,demanda_promedio_diaria,demanda_std_diaria,categoria,tiempo_entrega_dias,precio_venta,stock_total,days_of_supply,stock_seguridad,reorder_point,stock_objetivo,cantidad_pedir,accion
2024-03-30,S001,CEP-001,16,7,1.1777777777777778,0.6103559060784894,Cepillos para madera,6,213700,23,19.528301886792452,2.0,9.066666666666666,19.666666666666668,0.0,OK
2024-03-30,S001,CEP-002,21,4,1.1222222222222222,0.6675088313648461,Cepillos para madera,4,60100,25,22.277227722772277,2.0,6.488888888888889,18.833333333333332,0.0,OK
2024-03-30,S001,CEP-003,15,0,1.1555555555555554,0.6689100829903017,Cepillos para madera,7,72200,15,12.980769230769232,3.0,11.088888888888889,20.333333333333332,5.0,OK
2024-03-30,S001,CEP-004,22,4,1.2,0.6902206128347824,Cepillos para madera,3,96900,26,21.666666666666668,2.0,5.6,20.0,0.0,OK
2024-03-30,S001,CEP-005,25,9,1.3111111111111111,0.7289278635175328,Cepillos para madera,7,53700,34,25.93220338983051,3.0,12.177777777777777,22.666666666666668,0.0,OK
2024-03-30,S001,DES-001,123,21,5.133333333333334,1.6638928228232421,Destornilladores manuales,4,14000,144,28.05194805194805,5.0,25.533333333333335,82.0,0.0,OK
2024-03-30,S001,DES-002,133,17,5.533333333333333,1.587875409031433,Destornilladores manuales,3,19000,150,27.10843373493976,5.0,21.6,88.0,0.0,OK
2024-03-30,S001,DES-003,126,0,5.722222222222222,1.5795588758249104,Destornilladores manuales,2,7300,126,22.019417475728154,4.0,15.444444444444445,89.83333333333333,0.0,OK
2024-03-30,S001,DES-004,105,11,5.522222222222222,1.6368493837609501,Destornilladores manuales,2,7700,116,21.006036217303823,4.0,15.044444444444444,86.83333333333333,0.0,OK
2024-03-30,S001,DES-005,120,0,5.733333333333333,1.556429217829182,Destornilladores manuales,2,17900,120,20.930232558139533,4.0,15.466666666666667,90.0,0.0,OK
2024-03-30,S001,DES-006,112,0,5.6,1.7597241867642626,Destornilladores manuales,3,12700,112,20.0,5.0,21.799999999999997,89.0,0.0,OK
2024-03-30,S001,DES-007,118,0,5.111111111111111,1.692312057474967,Destornilladores manuales,1,12700,118,23.086956521739133,3.0,8.11111111111111,79.66666666666666,0.0,OK
2024-03-30,S001,DES-008,105,0,5.233333333333333,1.6561088820525909,Destornilladores manuales,3,13400,105,20.063694267515924,5.0,20.7,83.5,0.0,OK
2024-03-30,S001,DES-009,127,0,5.522222222222222,1.4239348692479494,Destornilladores manuales,2,19300,127,22.997987927565394,3.0,14.044444444444444,85.83333333333333,0.0,OK
2024-03-30,S001,DES-010,118,16,5.344444444444444,1.4546408577270162,Destornilladores manuales,3,15700,134,25.072765072765073,4.0,20.03333333333333,84.16666666666666,0.0,OK
2024-03-30,S001,DES-011,98,11,5.455555555555556,1.8123242951556675,Destornilladores manuales,2,12300,109,19.979633401221996,4.0,14.911111111111111,85.83333333333334,0.0,OK
2024-03-30,S001,DES-012,98,0,5.433333333333334,1.5725882194220993,Destornilladores manuales,2,8000,98,18.03680981595092,4.0,14.866666666666667,85.5,0.0,OK
2024-03-30,S001,DES-013,124,5,5.388888888888889,1.5338461933384897,Destornilladores manuales,1,18800,129,23.938144329896904,3.0,8.38888888888889,83.83333333333334,0.0,OK
2024-03-30,S001,DES-014,100,0,5.566666666666666,1.7676875009807578,Destornilladores manuales,4,10200,100,17.964071856287426,6.0,28.266666666666666,89.5,0.0,OK
2024-03-30,S001,DES-015,123,16,5.344444444444444,1.861261569933244,Destornilladores manuales,3,17800,139,26.00831600831601,5.0,21.03333333333333,85.16666666666666,0.0,OK
2024-03-30,S001,ESM-001,19,0,1.4777777777777779,0.8897389817695973,Esmeriles,4,20600,19,12.857142857142856,3.0,8.911111111111111,25.166666666666668,6.0,OK
2024-03-30,S001,ESM-002,24,0,1.6,0.9093768702440322,Esmeriles,5,16200,24,15.0,3.0,11.0,27.0,3.0,OK
2024-03-30,S001,ESM-003,27,5,1.6,0.9691882390416368,Esmeriles,3,13600,32,20.0,3.0,7.800000000000001,27.0,0.0,OK
2024-03-30,S001,ESM-004,14,0,1.4,0.8044818277847892,Esmeriles,2,15100,14,10.0,2.0,4.8,23.0,9.0,OK
2024-03-30,S001,ESM-005,17,0,1.5444444444444445,0.9014484114201626,Esmeriles,3,14800,17,11.007194244604316,3.0,7.633333333333334,26.166666666666668,9.0,OK
2024-03-30,S001,ESM-006,16,5,1.3333333333333333,0.8479983040050879,Esmeriles,4,22000,21,15.75,3.0,8.333333333333332,23.0,2.0,OK
2024-03-30,S001,ESM-007,21,4,1.5,0.9627908870231539,Esmeriles,3,16900,25,16.666666666666668,3.0,7.5,25.5,0.0,OK
2024-03-30,S001,ESM-008,19,0,1.488888888888889,0.9627260504368639,Esmeriles,4,18000,19,12.761194029850746,3.0,8.955555555555556,25.333333333333336,6.0,OK
